2026-02-21 12:35:46.595 [background-preinit] INFO  org.hibernate.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.2.Final
2026-02-21 12:35:46.639 [restartedMain] INFO  c.e.e.manager.gateway.config.GatewayApplication [] - Starting GatewayApplication using Java 17.0.11 with PID 25648 (D:\Java\springbootProject\employee\gateway\target\classes started by lenovo in D:\Java\springbootProject\employee)
2026-02-21 12:35:46.640 [restartedMain] INFO  c.e.e.manager.gateway.config.GatewayApplication [] - No active profile set, falling back to 1 default profile: "default"
2026-02-21 12:35:46.764 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor [] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-02-21 12:35:46.764 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor [] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-02-21 12:35:47.296 [restartedMain] INFO  o.springframework.cloud.context.scope.GenericScope [] - BeanFactory id=3fe1d1b5-2bed-3b9e-b9ed-abdf029ce510
2026-02-21 12:35:48.225 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [After]
2026-02-21 12:35:48.225 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [Before]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [Between]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [Cookie]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [Header]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [Host]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [Method]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [Path]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [Query]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [ReadBody]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [RemoteAddr]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [XForwardedRemoteAddr]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [Weight]
2026-02-21 12:35:48.226 [restartedMain] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator [] - Loaded RoutePredicateFactory [CloudFoundryRouteService]
2026-02-21 12:35:48.386 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer [] - LiveReload server is running on port 35729
2026-02-21 12:35:49.208 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer [] - Netty started on port 8000 (http)
2026-02-21 12:35:49.960 [restartedMain] INFO  c.e.e.manager.gateway.config.GatewayApplication [] - Started GatewayApplication in 4.312 seconds (process running for 5.588)
2026-02-21 12:35:49.963 [restartedMain] INFO  c.e.e.manager.gateway.config.GatewayApplication [] - 启动成功！！
2026-02-21 12:35:49.964 [restartedMain] INFO  c.e.e.manager.gateway.config.GatewayApplication [] - 网关地址: 	http://127.0.0.1:8000
2026-02-21 13:41:16.678 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.netty.GracefulShutdown [] - Commencing graceful shutdown. Waiting for active requests to complete
2026-02-21 13:41:16.744 [netty-shutdown] INFO  o.s.boot.web.embedded.netty.GracefulShutdown [] - Graceful shutdown complete
